rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_command,scan_type_init,scan_type_spont,nro_alertas
COTARUSE_N,1639096,0,1229976,53076684,3,0,1639069,0
ORCOTUNA,1131437,0,848982,92690883,3,0,1131410,0
MONTALVO,366098,0,275328,10119624,3,0,366071,0
PAPUJUNE,73435,0,42582,4694626,3,0,73408,0
SOCABAYA_REP_N,1260801,0,946398,38689449,3,0,1260774,0
PIEDRAS BLAN,167395,22,837240,3540340,3,0,0,0
SOCABAYA,169369,0,877130,1105829,3,0,0,0
SANTUARIO,135998,8,718105,8155466,17,24,0,7
CVERDE,141578,6,707995,5431666,3,0,0,0
POMACO,222989,32,1115360,7838677,7,0,0,0
TOQUEPALA,12608,3063,115695,498439,6,129,0,20
CALLALLI,50534,0,258742,3354124,3,0,0,0
TOCACHE_N,917544,0,689496,25175981,3,0,917517,0
TINTAYA_N,581088,0,436692,17693168,3,0,581061,0
AZANGARO,170673,1,853530,2029242,9,0,0,0
AYAVIRI,43298,0,216550,4438983,3,0,0,0
MANTARO_N,4167765,0,3126870,133175588,3,6,4167732,0
SANROS_N,1616007,0,1212978,46439012,3,0,1615980,0
MOLLENDO,81623,528,418150,145297,3,9,0,7
MOQUEGUA,58885,1114,316905,872291,3,0,0,0
REPARTICION,79761,10,459356,5545100,3,0,0,0
TINGOMARIA,139263,12,696480,5360002,3,0,0,0
CALLAHUANCA,190844,328,957495,5608956,3,0,0,0
PACHACHACA,147020,253,737550,2793822,5,59,0,17
ZAPALLAL,237625,493,1190750,2408715,6,0,0,0
CHILCA1,210908,35,1057805,6839655,27,0,0,0
HUACHO,114020,160,571955,6806115,3,0,0,0
VENTANILLA,206545,228,1035275,5986625,5,0,0,0
COLCABAMBA,2491615,0,1869960,79874605,3,6,2491582,0
SURIRAY,1196542,0,898170,33638660,3,0,1196515,0
SANNICOLAS,80312,24720,525445,1598461,3,0,0,0
SOCABAYA_N,1967969,0,1477020,62317192,3,0,1967942,0
PARIÑAS,2545340,0,1909866,115130040,6,0,2545310,0
TRUJILLNUEV,151657,1557,774705,10050013,4,175,0,16
TINGOMARIA_N,464482,0,349038,17395264,3,0,464455,0
OROYA_N,1644207,0,1233720,45939258,3,0,1644180,0
HUANUCO,237367,8,1186965,3448185,3,0,0,0
HUAYUCACHI,275870,4,1379435,1664893,3,0,0,0
QUENCORO_N,1948215,0,1462868,54263931,3,0,1948189,0
OLLEROS,243802,469,1223280,2736575,3,0,0,0
LANINA_N,2040260,0,1532046,59514628,3,0,2040233,0
YARABAMBA,4156611,0,3118692,212487943,3,0,4156584,0
PARAGSHA2,90143,160,452330,1961944,3,0,0,0
AUCAYACU_N,498907,0,374844,18792877,3,0,498880,0
HUANCAVEL_N,2281975,0,1712464,63491163,4,0,2281947,0
CHAVARRIA,191086,1001,1193466,2690106,5,0,0,0
PUNO_N,365455,0,275262,12051796,3,0,365428,0
JULIACA_N,151409,0,114378,5630781,3,0,151382,0
MARCONA,5749984,0,4313604,211381656,3,0,5749957,0
CARABAYLLO,256930,324,1289045,7302916,11,0,0,0
GUADALUPE_N,1503389,0,1128964,42013095,7,0,1503358,0
PARAGSHA_NVA,188483,393,946665,9229467,5,4,0,0
HUANUCO_N,1422039,0,1067712,38739639,6,0,1422009,0
CARHUAMAYO,186499,148,934230,8523326,3,0,0,0
PIURA2_N,3189616,0,2394132,90569689,15,0,3189577,0
CHIMBOTE1_N,156072,0,117934,8772556,13,0,156035,0
VIZCARRA,52693,1,263525,3032314,3,0,0,0
TINGOM_ETS_N,436697,0,328556,32742081,5,0,436668,0
PLANICIE,195762,879,984755,5097730,23,645,0,60
DESIERTO,144438,160,723050,4761350,3,0,0,0
MOQUEGUA_N,91649,0,69186,4465690,3,0,91622,0
SANJUAN_N,908177,0,682722,25089259,9,0,908144,0
ICA,158545,90,794395,13306803,6,0,0,0
ZORRITOS_N,895381,0,673420,24930751,7,0,895350,0
MOLLEPATA,2191662,0,1644774,62639570,3,0,2191635,0
TALARA N,191598,0,144996,5227100,3,0,191571,0
CARAPONGO,696765,0,523040,30999195,5,3,696733,0
INDUSTRIALES,253328,0,190494,7329704,3,0,253301,0
CHIMBOTENVA_N,565352,0,425162,15475016,29,0,565299,0
INDEPE_N,1218747,0,914348,81245509,17,0,1218730,0
LA_BREA,698358,0,524496,19871365,3,0,698331,0
ABANCAY,1732355,0,1300284,48117478,3,0,1732328,0
REQUE,2487734,0,1866684,79529478,3,0,2487707,0
CHAVARRIA_N,758851,1,570526,21654410,5,4,758820,0
AMARILIS,78698,0,59184,9616961,3,0,78671,0
PUCALLPA_N,178162,0,134478,35181056,3,0,178135,0
AGUAYTIA_N,145103,0,109650,27236466,3,0,145076,0
PARAGSHA2_N,505767,0,380100,23248518,3,0,505740,0
COMBAPATA_N,4139701,0,3105900,136150414,3,0,4139674,0
PARAMONGA_N,2561601,0,1922886,73126395,21,0,2561556,0
CHICLAYO_N,2385117,0,1789778,87923364,3,0,2385091,0
TRUJILLO_N,2989230,0,2243790,101369335,5,0,2989200,0
POROMA,948959,0,713202,26327378,3,0,948932,0
COTARUSE_N,1604982,0,1204412,52473638,5,0,1604953,0
ORCOTUNA,1112055,0,834424,91319453,3,1,1112027,0
MONTALVO,368691,0,277248,10174361,3,0,368664,0
PAPUJUNE,75392,0,43062,5257961,12,0,75356,0
SOCABAYA_REP_N,1253636,0,941156,40541193,12,2,1253598,0
PIEDRAS BLAN,166507,64,833220,3535077,3,0,0,0
SOCABAYA,170452,0,882524,1045200,3,0,0,0
SANTUARIO,136062,1,710810,8433233,3,16,0,2
CVERDE,141391,6,707060,5472113,3,0,0,0
POMACO,220363,43,1102285,8124233,3,0,0,0
TOQUEPALA,10775,3135,107855,439465,3,55,0,13
CALLALLI,50892,0,260553,3335977,3,0,0,0
TOCACHE_N,949533,0,713598,26042085,3,0,949506,0
TINTAYA_N,582519,0,437794,17663736,3,0,582491,0
AZANGARO,170157,0,850905,2062652,5,0,0,0
AYAVIRI,43576,0,217940,4398783,3,0,0,0
MANTARO_N,2190604,6,1645518,73435305,1,103,2190493,11
SANROS_N,1637249,0,1228948,46918829,7,0,1637218,0
MOLLENDO,89895,191,452940,149847,3,0,0,0
MOQUEGUA,57587,1174,311575,874245,3,2,0,0
REPARTICION,79717,6,459164,5574392,3,0,0,0
TINGOMARIA,139500,6,697605,5343457,3,0,0,0
CALLAHUANCA,189658,347,951780,5829084,3,3,0,0
PACHACHACA,150397,78,752550,2850636,3,56,0,13
ZAPALLAL,237132,518,1188595,2431473,12,0,0,0
CHILCA1,210642,34,1056490,6849182,27,0,0,0
HUACHO,114014,148,571825,6836807,3,0,0,0
