Column1,Column2,Column3,Column4,Column5,Column8,Column14
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:52,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:53,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:53,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:53,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:53,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:53,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:54,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:54,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:54,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:54,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:54,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:54,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:55,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:56,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:56,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:56,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:56,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:56,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:56,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:56,rep1sca01,scada_alarm[2783]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:CLASS
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:35:58,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:00,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:01,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
01/16/21,16:36:01,rep1sca01,osi_alarm_check[2750]:,rep1sca01,OSI_SYSTEM,AUTO-ACK:RTN
