rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_idle,scan_type_command,scan_type_init,tipo_evento
QUENCORO_N,1739377,2,1306250,50084802,0,3,11,1
REQUE,1738320,0,1305198,53088837,0,41,1,1
QUENCORO_N,1737498,1,1304884,49982608,0,7,9,1
SANROS_N,1736246,0,1303168,50799924,0,3,1,1
CHICLAYO_N,1735739,0,1302868,61169399,0,3,1,1
QUENCORO_N,1735403,2,1303446,49912478,0,6,8,1
QUENCORO_N,1734848,1,1302996,50252254,0,3,9,1
CHICLAYO_N,1733348,1,1301480,61557845,0,31,1,1
REQUE,1731206,0,1299390,53365242,0,3,3,1
SANROS_N,1728358,0,1297248,50571711,0,3,1,1
ABANCAY,1727626,0,1296832,47862116,0,3,1,1
ABANCAY,1725510,3,1295836,47800478,0,10,9,1
QUENCORO_N,1723731,1,1294706,49725428,0,7,13,1
QUENCORO_N,1723171,1,1294250,49013838,0,3,8,1
QUENCORO_N,1719978,2,1291874,49423818,0,3,11,1
QUENCORO_N,1719530,3,1291396,48677250,0,9,1,1
QUENCORO_N,1716368,3,1289016,49412398,0,7,8,1
ABANCAY,1712823,0,1285850,47728325,0,3,1,1
ABANCAY,1711236,0,1284316,47723934,0,3,1,1
ABANCAY,1709621,1,1283070,47454865,0,5,1,1
REQUE,1702170,0,1277576,52297275,0,3,2,1
QUENCORO_N,1700045,1,1276854,48560661,0,3,9,1
ABANCAY,1698407,0,1275196,47314454,0,3,1,1
QUENCORO_N,1697663,1,1275100,49111939,0,3,13,1
ABANCAY,1696521,0,1273618,47245805,0,3,1,1
ABANCAY,1696441,0,1273350,47170021,0,2,1,1
CHICLAYO_N,1696389,0,1273294,59777385,0,3,2,1
ABANCAY,1694252,0,1271932,47068646,0,3,1,1
ABANCAY,1691765,0,1270018,47123369,0,3,1,1
ABANCAY,1691283,0,1269664,46986202,0,3,1,1
SOCABAYA_N,1690544,8,1269394,57782757,0,2,44,2
SOCABAYA_N,1690504,0,1269102,58542652,0,21,15,1
ABANCAY,1689267,1,1268344,46908845,0,7,1,1
CHICLAYO_N,1689167,0,1267882,59709692,0,3,1,1
ABANCAY,1687883,0,1267186,46934364,0,3,1,1
ABANCAY,1687375,2,1266920,47230804,0,12,1,1
SOCABAYA_N,1687241,0,1266312,58592708,0,2,9,1
ABANCAY,1683948,0,1263948,46961404,0,3,3,1
REQUE,1682977,0,1263154,51880021,0,3,1,1
CHICLAYO_N,1678180,2,1259824,59033882,0,8,4,1
SANROS_N,1675160,0,1257384,48570736,0,5,1,1
ABANCAY,1674744,0,1256950,46669741,0,3,1,1
QUENCORO_N,1674142,1,1257440,48011051,0,3,11,1
ABANCAY,1671142,3,1254578,46497573,0,9,2,1
REQUE,1670272,0,1253654,51866971,0,3,2,1
CHICLAYO_N,1668760,1,1252646,59107469,0,5,1,1
ABANCAY,1666762,0,1251266,46938907,0,3,2,1
QUENCORO_N,1666291,1,1251466,47138071,0,3,4,1
CHICLAYO_N,1664643,0,1249546,58428046,0,3,1,1
QUENCORO_N,1662105,5,1248396,47919858,0,5,13,1
SANROS_N,1658183,0,1244664,47770089,0,5,1,1
QUENCORO_N,1657592,1,1244918,47491051,0,3,11,1
QUENCORO_N,1657185,1,1244996,47943418,0,9,14,1
CHICLAYO_N,1652142,0,1240210,58055454,0,4,3,1
SANROS_N,1651564,0,1239718,47919448,0,5,2,1
CHICLAYO_N,1647565,0,1236712,57865840,0,3,1,1
REQUE,1645990,0,1235586,50895191,0,3,6,1
SOCABAYA_N,1644751,7,1235110,56887306,0,9,38,1
SOCABAYA_N,1641774,9,1233044,57444864,0,19,34,2
CHICLAYO_N,1640681,0,1231594,57174650,0,3,4,1
