id_rtufecha,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_init,enviados,fallidos,alarmas,duracion_int,tipo_evento
44333CALLALLI,51223,0,262208,3328457,0,4,4,2,38,1
44294HUAYUCACHI,275282,4,1376780,1719166,0,4,0,0,0,0
44294QUENCORO_N,2001943,0,1503254,55657207,0,2,0,0,0,0
44211LA_BREA,278466,0,209446,7911163,11,11,1,0,0,2
44202LA_BREA,314649,0,236982,8905451,18,22,4,0,0,2
44311TINGOM_ETS_N,344328,0,259304,24488373,0,1,1,0,0,2
44294CARABAYLLO,245174,397,1238665,8309430,0,37,0,0,0,0
44294GUADALUPE_N,1498143,1,1126364,41909287,0,2,0,1,8,0
44334TINGOM_ETS_N,349090,0,262922,25087086,1,5,2,12,1535,1
44220CALLALLI,51344,72,263215,3287495,49,6,6,5,2170,1
44294TINGOM_ETS_N,344458,0,259416,24636928,0,1,0,0,0,0
44294MOQUEGUA_N,91813,0,69306,4470468,0,8,0,1,46,0
44229TOCACHE_N,348742,1,263468,9729224,13,7,1,2,1751,1
44294ZORRITOS_N,925883,0,696360,25784220,0,8,0,0,0,0
44294TALARA N,205744,0,155172,5592146,0,2,0,0,0,0
44332TINGOM_ETS_N,351830,0,264906,25133067,0,23,6,5,320,1
44334CALLALLI,50165,107,259396,3273108,4,1,1,0,0,2
44333TINGOM_ETS_N,354663,0,267268,25538914,1,6,3,7,29167,1
44336TINGOM_ETS_N,344685,6,259788,24661235,11,7,2,13,4470,2
44294TRUJILLO_N,2674412,10,2008496,94300117,8,1,0,0,0,0
44280CALLALLI,51052,0,261353,3341669,0,2,2,0,0,2
44295AZANGARO,171897,0,859685,2011462,0,2,0,0,0,0
44302MONTALVO,361299,9,271918,9914736,2,8,8,0,0,1
44301MONTALVO,364374,0,274044,10039481,0,7,7,2,4,1
44295QUENCORO_N,1976943,0,1484498,54963579,0,2,0,0,0,0
44335TINGOM_ETS_N,347399,0,261658,24890132,1,4,3,15,2858,2
44295YARABAMBA,4128540,2,3097730,208860947,0,1,0,0,0,0
44295HUANCAVEL_N,1975746,0,1482784,54785433,0,1,0,0,0,0
44322CALLALLI,51274,4,262482,3289058,0,1,1,0,0,2
44295CARABAYLLO,245875,349,1234350,8527170,0,24,0,0,0,0
44295GUADALUPE_N,1460670,4,1097068,40978865,4,4,0,0,0,0
44315PUNO_N,350800,0,264268,11557255,1,8,1,0,0,2
44298TINGOM_ETS_N,351437,0,264626,25145151,0,3,1,0,0,2
44295TINGOM_ETS_N,346549,0,260956,24729270,0,2,0,0,0,0
44264AGUAYTIA_N,385489,0,290476,79779779,13,1,1,8,6936,1
44295ZORRITOS_N,938590,0,705906,26160096,0,8,0,0,0,0
44286MOQUEGUA,57357,1135,309635,871130,0,7,7,0,0,1
44214PUNO_N,381895,0,287632,12478747,0,5,1,0,0,2
44208INDEPE_N,383433,0,287670,16256230,0,60,8,0,0,2
44295REQUE,1773635,0,1331118,54786877,0,6,0,0,0,0
44295CHAVARRIA_N,941550,0,707564,26820403,5,4,0,0,0,0
44245TINGOM_ETS_N,394937,0,297408,30113782,2,4,1,0,0,2
44269TINGOM_ETS_N,417960,0,314482,31911394,0,14,6,0,0,2
44295TRUJILLO_N,2733149,0,2051654,97269731,0,8,0,1,2,0
44226TINGOM_ETS_N,424646,0,319566,31969710,0,4,1,0,0,2
44210TINGOM_ETS_N,426651,0,321032,32067068,0,9,1,1,3,1
44296AZANGARO,171461,1,857455,1963129,0,3,0,0,0,0
44213TINGOM_ETS_N,428937,0,322692,32168106,0,3,2,1,6,1
44224AGUAYTIA_N,439103,4,329902,92918737,15,1,1,0,0,1
44296HUAYUCACHI,275891,4,1379625,1667639,0,6,0,0,0,0
44260SOCABAYA_REP_N,425031,0,319690,11746774,4,11,9,0,0,2
44296YARABAMBA,4152605,2,3115744,210650652,0,2,0,0,0,0
44234TINGOM_ETS_N,427514,0,321652,32135213,0,13,3,0,0,2
44296CARABAYLLO,247305,368,1241135,8301765,0,26,0,0,0,0
44296GUADALUPE_N,1479375,0,1111052,41204251,0,3,0,0,0,0
44233AGUAYTIA_N,438694,9,330300,90691677,8,2,2,0,0,1
44237AGUAYTIA_N,439821,0,331442,88766661,2,1,1,0,0,1
44268CHIMBOTENVA_N,442057,0,332410,12039514,1,11,4,4,266,1
44223AGUAYTIA_N,450253,0,338532,94775721,0,3,3,4,220,1
44296ZORRITOS_N,871034,0,655172,24232438,0,8,0,0,0,0
44296CHIMBOTENVA_N,664336,0,499140,18226059,0,6,0,0,0,0
44199AGUAYTIA_N,450615,0,338784,94824284,0,1,1,6,702,1
44296CHAVARRIA_N,904714,5,679922,25396819,0,4,0,0,0,0
44296PUCALLPA_N,217084,0,163644,44698473,0,1,0,0,0,0
44241TINGOM_ETS_N,430019,0,323514,32287125,0,2,1,0,0,2
44296CHICLAYO_N,1597607,0,1200036,56638140,0,4,0,1,72,0
44296TRUJILLO_N,2828923,11,2123966,99013777,1,6,0,1,2,0
44297POMACO,213690,15,1068650,9077009,0,2,0,0,0,0
44297AZANGARO,171942,0,859900,2002287,0,3,0,0,0,0
44297SANROS_N,1690030,0,1268478,48912528,0,1,0,0,0,0
44297ZAPALLAL,235666,630,1181715,2522244,0,8,0,0,0,0
44297CHILCA1,209017,35,1046910,7142593,0,4,0,0,0,0
44297HUACHO,114450,199,574480,6681750,0,2,0,0,0,0
44231AGUAYTIA_N,452520,9,340486,94434842,12,2,2,0,0,1
44230AGUAYTIA_N,453709,3,341172,94834653,0,2,2,2,84,1
44297HUAYUCACHI,275155,0,1376055,1788544,0,4,0,0,0,0
44249TINGOM_ETS_N,430707,0,324046,32481824,0,4,1,0,0,2
44297HUANCAVEL_N,2264981,0,1699726,63333166,0,3,0,0,0,0
44297CARABAYLLO,250582,375,1257650,7986803,0,1,0,0,0,0
44234AGUAYTIA_N,434038,0,326398,88952826,0,4,4,0,0,2
44263AGUAYTIA_N,454389,0,341648,94814029,0,4,3,6,614,1
44251AGUAYTIA_N,457393,0,343920,94797000,1,1,1,1,18,1
44297TINGOM_ETS_N,344711,0,259686,24569661,3,2,0,0,0,0
44297PLANICIE,203665,313,1021560,6668575,2,1,0,1,24,0
44297SANJUAN_N,912080,1,685902,25200794,4,4,0,0,0,0
44207REPARTICION,57015,357,348137,4178368,0,2,2,3,140,1
44297ZORRITOS_N,880437,0,662246,24494126,0,3,0,0,0,0
44297TALARA N,204395,0,154398,5567282,0,1,0,0,0,0
44297CARAPONGO,669682,1,502740,31290758,6,3,0,1,118,0
44236AGUAYTIA_N,438409,0,329622,89007632,0,25,11,1,72,2
44226AGUAYTIA_N,447343,0,336318,94734613,0,20,8,0,0,2
44204AGUAYTIA_N,448321,0,337074,94730575,0,2,1,0,0,2
44297CHAVARRIA_N,921980,4,693026,26016397,0,2,0,0,0,0
44201AGUAYTIA_N,448387,0,337122,94754790,0,1,1,0,0,2
44297TRUJILLO_N,2888078,9,2168440,100735409,2,1,0,0,0,0
44214AGUAYTIA_N,449419,0,337922,94795269,0,3,3,0,0,2
44297COTARUSE_N,1619015,0,1215036,52846412,0,2,0,0,0,0
44298POMACO,217086,2,1085555,8768627,0,2,0,1,62,0
44298AZANGARO,170668,1,853505,2017093,0,2,0,0,0,0
44298SANROS_N,1703784,0,1278820,49317117,0,1,0,0,0,0
44298ZAPALLAL,236837,360,1186345,2461506,0,4,0,0,0,0
44270CHIMBOTENVA_N,478407,2,359992,13119063,17,12,6,0,0,1
44298HUACHO,114182,156,572735,6811743,0,8,0,0,0,0
44298VENTANILLA,207663,299,1041815,5696235,0,2,0,0,0,0
44305AUCAYACU_N,489488,2,367826,18720117,0,30,20,0,0,1
44298HUAYUCACHI,275659,0,1378465,1728678,0,4,0,0,0,0
44298QUENCORO_N,2002379,0,1503588,55751564,0,2,0,0,0,0
44218AGUAYTIA_N,449577,0,338036,94764103,0,3,3,0,0,2
44213AGUAYTIA_N,451222,0,339240,94761976,0,1,1,0,0,2
44298PUNO_N,367789,0,277078,12060379,1,4,0,0,0,0
44245AGUAYTIA_N,450659,0,339268,94573519,7,12,3,0,0,2
44256AUCAYACU_N,495077,1,372040,18479416,1,14,10,0,0,1
44298GUADALUPE_N,1568134,0,1177026,43558967,0,2,0,0,0,0
44242AGUAYTIA_N,451405,0,339386,94781967,0,1,1,0,0,2
44219AGUAYTIA_N,451361,0,339438,94771245,0,3,3,0,0,2
44215AGUAYTIA_N,451585,0,339622,94773092,1,2,2,0,0,2
44298PLANICIE,201383,296,1010070,6981041,2,1,0,0,0,0
44298SANJUAN_N,643083,0,484038,17660295,2,2,0,0,0,0
44285AUCAYACU_N,506710,0,380694,18859995,0,1,1,1,8,1
44298ZORRITOS_N,920798,0,692394,25601644,0,6,0,0,0,0
44298TALARA N,214056,0,161552,5824559,0,2,0,0,0,0
44228TOCACHE_N,524454,5,395714,14534325,6,1,1,5,14330,1
44216AGUAYTIA_N,451759,0,339700,94760995,0,1,1,0,0,2
44217AGUAYTIA_N,452234,0,340040,94765689,0,1,1,0,0,2
44298CHAVARRIA_N,782175,2,587794,22173981,0,2,0,0,0,0
44208AGUAYTIA_N,452984,0,340582,94731881,1,1,1,0,0,2
44208AUCAYACU_N,560265,3,420946,20085283,4,2,2,0,0,1
44299AZANGARO,172835,0,864285,1945019,0,1,0,1,24,0
44299HUACHO,114258,225,573940,6680938,0,6,0,1,23,0
44299HUAYUCACHI,274607,8,1373295,1806250,0,4,0,2,45,0
44244AGUAYTIA_N,453464,0,340920,94789194,0,9,4,3,108,2
44299PUNO_N,368924,0,277958,12057537,0,2,0,0,0,0
44299MARCONA,5780957,0,4336812,212085003,0,1,0,1,21,0
44299CARABAYLLO,253981,308,1276755,7950181,0,38,0,1,44,0
44299GUADALUPE_N,1481811,0,1112430,41185953,0,7,0,1,17,0
44205AGUAYTIA_N,453984,0,341384,94802671,1,1,1,0,0,2
44254AGUAYTIA_N,455085,0,342166,94475271,1,1,1,0,0,2
44299TINGOM_ETS_N,347372,1,261622,24841107,1,2,0,3,57,0
44256AGUAYTIA_N,455716,0,342640,94816013,1,3,1,0,0,2
44299ZORRITOS_N,951591,0,715542,26510479,0,6,0,1,17,0
44299TALARA N,208664,0,157702,5682560,0,2,0,1,17,0
44314REPARTICION,74991,323,434748,5369060,314,4,3,1,8,1
44248AGUAYTIA_N,456225,0,342968,94816647,0,11,11,0,0,2
44218AUCAYACU_N,578728,1,434818,20388133,0,2,1,0,0,1
44299CHAVARRIA_N,891104,2,669550,25242313,0,4,0,0,0,0
44199AUCAYACU_N,579471,0,435300,20409089,0,6,6,1,8586,1
44237PARAGSHA2,88112,193,442570,1859339,2,1,1,0,0,1
44299COTARUSE_N,1601766,0,1202028,52529428,0,1,0,0,0,0
44300AZANGARO,171704,0,858650,1980677,2,2,0,0,0,0
44300AYAVIRI,43544,0,218505,4404113,3,4,0,0,0,0
44280CARAPONGO,593665,5,445844,26345274,21,5,5,0,0,1
44300VENTANILLA,197998,293,993240,6876351,2,2,0,0,0,0
44300SOCABAYA_N,1963142,0,1473292,62800800,1,2,0,0,0,0
44260INDEPE_N,599769,0,449914,25320228,1,19,3,4,1952,1
44300HUAYUCACHI,271425,55,1357850,1762657,5,2,0,1,628,0
44300QUENCORO_N,2060625,0,1547236,57557339,1,6,0,0,0,0
44206AGUAYTIA_N,456722,0,343418,94851252,0,1,1,0,0,2
44206MOLLENDO,89573,297,453445,153155,0,7,6,1,8,1
44300GUADALUPE_N,1518325,0,1140474,42218792,1,3,0,0,0,0
44300PARAGSHA_NVA,183286,337,920155,9019902,5,6,0,0,0,0
44300PIURA2_N,3747424,0,2814052,110427694,1,15,0,0,0,0
44300TINGOM_ETS_N,357354,0,269100,24836623,1,2,0,0,0,0
44300ICA,154514,112,774490,12944881,4,24,0,0,0,0
44300ZORRITOS_N,880666,0,662422,24455258,1,8,0,0,0,0
44300TALARA N,207162,0,156788,5653975,1,3,0,0,0,0
44300CARAPONGO,696255,0,522698,33321655,6,3,0,0,0,0
44300CHIMBOTENVA_N,684568,0,514382,18781535,1,10,0,0,0,0
44262CHIMBOTENVA_N,608466,5,457294,16686462,0,3,1,0,0,1
44300LA_BREA,772915,0,580474,22643909,1,6,0,0,0,0
44262AGUAYTIA_N,457184,0,343716,94779029,0,1,1,0,0,2
44300PUCALLPA_N,217660,0,164116,44893951,1,6,0,0,0,0
44300AGUAYTIA_N,157369,0,118906,30282543,1,1,0,0,0,0
44300PARAMONGA_N,2225477,0,1671642,62286438,1,20,0,0,0,0
44227AGUAYTIA_N,457809,0,344746,94881768,0,1,1,0,0,2
44250AGUAYTIA_N,458834,0,344958,94854251,0,1,1,0,0,2
44301AZANGARO,171439,0,857295,2005024,0,2,0,0,0,0
44301SANROS_N,1712239,0,1285146,49716420,0,3,0,0,0,0
44198INDEPE_N,621321,0,466130,25438400,2,20,1,1,28,1
44301VENTANILLA,197141,288,988935,6958071,0,2,0,0,0,0
44287CHIMBOTENVA_N,622250,2,468082,17050815,5,19,10,0,0,1
44301SOCABAYA_N,1987689,9,1491984,63244979,0,2,0,0,0,0
44301HUAYUCACHI,268019,103,1341210,1751287,33,4,0,1,24,0
44252AGUAYTIA_N,458791,0,344976,94841582,1,1,1,0,0,2
44301CARABAYLLO,247145,346,1249570,8314059,0,8,0,0,0,0
44301GUADALUPE_N,1514990,1,1137562,42081330,0,6,0,0,0,0
44301PARAGSHA_NVA,187645,404,942565,9166937,18,1,0,0,0,0
44275CHIMBOTENVA_N,459453,0,345434,12531399,1,8,4,0,0,2
44301TINGOM_ETS_N,347161,0,261410,24843592,0,2,0,0,0,0
44301SANJUAN_N,943102,0,709206,26077704,0,2,0,0,0,0
44301ICA,155158,114,778775,13498930,0,21,0,0,0,0
44301ZORRITOS_N,860433,0,647360,23869645,0,4,0,0,0,0
44301TALARA N,205862,0,155736,5611434,0,3,0,0,0,0
44301CHIMBOTENVA_N,725767,0,545266,19940875,0,4,0,0,0,0
44276CHIMBOTENVA_N,463049,0,348328,12644968,0,7,1,0,0,2
44301LA_BREA,767910,0,576780,22329650,0,3,0,0,0,0
44301ABANCAY,1736657,0,1303472,48080416,0,2,0,0,0,0
44266SOCABAYA_REP_N,486985,0,366170,13407314,8,5,1,0,0,2
44315AUCAYACU_N,488186,0,366844,18677407,1,6,4,0,0,2
44301CHICLAYO_N,1797380,0,1349532,63518978,0,4,0,0,0,0
44255AUCAYACU_N,492451,0,370032,18432325,0,1,1,0,0,2
44298CARAPONGO,626035,0,470006,25518105,2,6,3,1,118,1
44302POMACO,215081,60,1076035,8651637,10,2,0,1,20,0
44302AZANGARO,170450,4,852430,2043587,0,3,0,1,556,0
44302SANROS_N,1725150,0,1294872,50067463,0,5,0,0,0,0
44207MOLLENDO,91293,170,470725,167981,2,3,3,3,44,1
44302VENTANILLA,197583,305,991340,6859708,0,4,0,0,0,0
44205INDEPE_N,644799,0,483724,27241009,1,22,2,1,244,1
44302TRUJILLNUEV,143062,1413,732805,11589758,7,3,0,0,0,0
44302HUAYUCACHI,272694,28,1363985,1797469,3,2,0,0,0,0
44302LANINA_N,2650295,0,1989468,78746745,0,3,0,0,0,0
44309AUCAYACU_N,504121,0,378786,18866499,0,14,12,0,0,2
44282CHIMBOTENVA_N,645044,0,484780,17663998,1,12,6,1,60,1
44302CARABAYLLO,246940,321,1238340,8541690,0,20,0,0,0,0
44302GUADALUPE_N,1470380,2,1104172,40884542,0,4,0,0,0,0
44263SOCABAYA_REP_N,509506,0,382968,14075477,0,6,1,0,0,2
44302HUANUCO_N,1408310,0,1057734,38584797,9,1,0,0,0,0
44258AUCAYACU_N,516261,0,387888,18723746,0,8,8,0,0,2
44302TINGOM_ETS_N,344951,0,259784,24663864,0,3,0,0,0,0
44302ICA,156984,169,789470,12615833,0,15,0,0,0,0
44302ZORRITOS_N,922576,0,693916,25656740,0,6,0,0,0,0
44302CARAPONGO,697913,0,523840,33958971,1,2,0,0,0,0
44302CHIMBOTENVA_N,705910,0,530314,19404312,0,7,0,0,0,0
44210TOCACHE_N,645899,0,486126,17884159,0,4,4,1,234,1
44302LA_BREA,734620,0,551754,21260838,0,3,0,0,0,0
44227TOCACHE_N,648239,2,487724,17774595,0,11,6,1,10,1
44267SOCABAYA_REP_N,522385,0,392616,14350896,0,3,2,0,0,2
44284CARAPONGO,650320,0,488140,29764477,1,5,3,0,0,1
44302COTARUSE_N,1632201,0,1224918,52720835,0,2,0,0,0,0
44302SANNICOLAS,70234,27171,489855,1675352,9,9,9,7,89,1
44302PAPUJUNE,71970,0,40254,4682637,0,4,0,0,0,0
44311AUCAYACU_N,528677,0,397194,19130147,0,2,2,0,0,2
44303AZANGARO,169890,57,850185,1972284,44,4,0,1,406,0
44303TINGOMARIA,139091,16,695665,5357765,0,6,0,0,0,0
44303CHILCA1,209892,25,1049650,7064902,0,4,0,0,0,0
44303HUACHO,114429,256,576990,6669447,9,6,0,0,0,0
44310CARAPONGO,656194,0,492628,32176264,2,5,1,0,0,1
44303LANINA_N,2625307,0,1970754,77885221,0,1,0,0,0,0
44303SANNICOLAS,71000,27203,493135,1680183,18,8,8,7,86,1
44303PUNO_N,361164,1,271948,11922753,0,6,0,0,0,0
44265CHIMBOTENVA_N,656433,3,493280,18012280,3,3,1,0,0,1
44274CHIMBOTENVA_N,532438,0,400090,14560062,1,5,5,0,0,2
44279CARAPONGO,657703,0,493728,28263171,1,5,5,0,0,1
44265SOCABAYA_REP_N,535046,0,402148,15227855,4,10,7,0,0,2
44303TINGOM_ETS_N,341686,0,257358,24293193,0,1,0,0,0,0
44303MOQUEGUA_N,88961,0,67170,4217307,0,8,0,0,0,0
44303SANJUAN_N,887152,4,667144,24604407,8,8,0,0,0,0
44303ICA,170661,109,855885,11191945,0,5,0,0,0,0
44303ZORRITOS_N,948198,0,713070,26297470,0,2,0,0,0,0
