
01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03011F85 AZANGARO 22.9                     B1 TENSION                       LIMITE INFERIOR 2 EXCEDIDO                    22.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03082182 TRUJILL NOR 10                    SVC CORRIENTE BCO                MEDIDA CONGELADA                             250.3       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03082076 TRUJILL NOR 10                    SVC CORRIENTE BCO 2              MEDIDA CONGELADA                             240.8       6

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03042049 HUANCAVEL 10                      T9-261 PL3 TENSION V-ST          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03011F85 AZANGARO 22.9                     B1 TENSION                       LIMITE INFERIOR 2 EXCEDIDO                    22.0       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03011F85 AZANGARO 22.9                     B1 TENSION                       LIMITE INFERIOR 2 EXCEDIDO                    22.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03042050 HUANCAVEL 10                      T9-261 PL3 TENSION V-TR          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   41080002 PARAMO NUE 220                    T10-216 SUBIR-BAJAR TAP          CONTROL FALLIDO                          LOWER           6

01/16/21 18:19:33 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:33   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            RETORNO A NORMAL                              66.1       4

01/16/21 18:19:34 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:34   01009197 TOCACHE 138                       BARRA_A FLL INT RELE PROT        RETORNO A NORMAL                          INACTIVO       3

01/16/21 18:19:34 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:19:34   02071134 LA_BREA 66                        T122-261 IN-6358                 CAMBIO DE ESTADO                          INDETERMINADO  1

01/16/21 18:19:34 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:19:34   02071134 LA_BREA 66                        T122-261 IN-6358                 CAMBIO DE ESTADO                          CERRADO        1

01/16/21 18:19:34 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:19:34   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            LIMITE INFERIOR 1 EXCEDIDO                    66.0       4

01/16/21 18:19:39 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:39   03065014 MOLLEPATA 220                     BARRA TENSION                    RETORNO A NORMAL                             230.9       4

01/16/21 18:19:44 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:44   03042049 HUANCAVEL 10                      T9-261 PL3 TENSION V-ST          RETORNO A NORMAL                              10.2       4

01/16/21 18:19:44 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:44   03042050 HUANCAVEL 10                      T9-261 PL3 TENSION V-TR          RETORNO A NORMAL                              10.2       4

01/16/21 18:19:47 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:47   03061530 ICA 10                            T112-261 TENSION V-TR            RETORNO A NORMAL                              10.6       4

01/16/21 18:19:49 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:49   01045179 JULIACA 22.9                      RSVA_1 FLL INT RELE PROT         RETORNO A NORMAL                          INACTIVO       3

01/16/21 18:19:54 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:54   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            RETORNO A NORMAL                              66.1       4

01/16/21 18:19:55 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:55   03065014 MOLLEPATA 220                     BARRA TENSION                    RETORNO A NORMAL                             231.0       4

01/16/21 18:19:56 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:19:56   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            LIMITE INFERIOR 1 EXCEDIDO                    66.1       4

01/16/21 18:19:56 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:19:56   03065014 MOLLEPATA 220                     BARRA TENSION                    LIMITE SUPERIOR 1 EXCEDIDO                   231.1       4

01/16/21 18:19:58 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:19:58   02071127 LA_BREA 220                       T122-261 IN-2998                 CAMBIO DE ESTADO                          CERRADO        1

01/16/21 18:20:02 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:02   03042048 HUANCAVEL 10                      T9-261 PL3 TENSION V-RS          RETORNO A NORMAL                              10.2       4

01/16/21 18:20:03 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:03   03042049 HUANCAVEL 10                      T9-261 PL3 TENSION V-ST          RETORNO A NORMAL                              10.2       4

01/16/21 18:20:03 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:03   03042050 HUANCAVEL 10                      T9-261 PL3 TENSION V-TR          RETORNO A NORMAL                              10.2       4

01/16/21 18:20:04 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:04   03042050 HUANCAVEL 10                      T9-261 PL3 TENSION V-TR          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

01/16/21 18:20:04 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:04   03042049 HUANCAVEL 10                      T9-261 PL3 TENSION V-ST          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

