id_rtufecha,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_periodic,scan_type_idle,scan_type_command,scan_type_init,scan_type_spont,enviados,fallidos,alarmas,duracion_int,tipo_evento
44247CHICLAYO_N,1710878,0,1284204,60629392,24,0,3,0,1710851,46,30,0,0,2
44247TRUJILLO_N,3096355,11,2325204,100827767,24,0,29,11,3096302,6,2,0,0,2
44248TINGOMARIA,135632,193,680105,5316575,0,135820,5,0,0,16,1,0,0,2
44248CHILCA1,209316,39,1047760,7058813,0,209345,10,0,0,9,2,0,0,2
44248HUACHO,120383,294,605460,6165004,0,120605,69,3,0,14,5,1,8,1
44248TRUJILLNUEV,142521,1314,727850,11550127,0,143818,8,9,0,16,3,0,0,2
44248MARCONA,5538117,0,4154820,213575622,24,0,12,0,5538081,2,7,0,0,2
44248PARAGSHA_NVA,182520,412,917040,8966422,0,182915,9,8,0,10,9,4,42,2
44248HUANUCO_N,1390838,0,1044282,37838292,24,0,3,0,1390811,3,1,0,0,2
44248PIURA2_N,3997397,0,3000288,117942617,24,0,39,0,3997334,25,16,0,0,2
44248PLANICIE,197016,476,992505,6434087,0,197307,54,131,0,12,1,0,0,2
44248ICA,165179,69,830020,12354492,0,165214,31,3,0,14,8,0,0,2
44248CHIMBOTENVA_N,731661,0,549640,20220456,24,0,10,0,731627,6,2,0,0,2
44248INDEPE_N,889975,0,667600,37756599,0,0,3,1,889971,38,19,0,0,2
44248REQUE,1782097,0,1338010,54299184,24,0,43,0,1782030,42,1,0,0,2
44248PUCALLPA_N,204183,0,153972,41652813,24,0,3,0,204156,30,24,1,107,2
44248AGUAYTIA_N,456225,0,342968,94816647,23,0,3,0,456199,11,11,0,0,2
44248PARAMONGA_N,2407284,0,1807120,67947657,24,0,19,0,2407241,11,5,0,0,2
44248CHICLAYO_N,1612124,0,1211378,55993509,24,0,95,0,1612005,9,4,0,0,2
44248PAPUJUNE,37905,1,28756,1286908,12,0,1,10,37883,10,8,24,27575,2
44249SANTUARIO,138269,0,721763,8448454,1439,136813,3,14,0,3,3,9,26,1
44249HUACHO,117024,243,588100,6506272,0,117229,36,2,0,1,1,0,0,2
44249TRUJILLNUEV,143659,1358,734505,11025657,0,144998,19,0,0,2,2,0,0,2
44249MARCONA,5527583,0,4146912,213718479,24,0,12,0,5527547,0,1,0,0,2
44249PARAGSHA_NVA,188279,397,945890,9261593,0,188649,18,9,0,3,3,4,94,2
44249HUANUCO_N,1412004,0,1060206,38399401,24,0,6,0,1411974,3,1,0,0,2
44249PIURA2_N,3848925,1,2888826,111976493,24,0,31,0,3848871,32,31,0,0,2
44249TINGOM_ETS_N,430707,0,324046,32481824,24,0,4,0,430679,4,1,0,0,2
44249PLANICIE,200080,311,1005060,6600079,0,200376,15,0,0,42,5,2,10,1
44249ICA,163164,86,818785,12582876,0,163229,21,0,0,15,15,0,0,2
44249CHIMBOTENVA_N,753342,0,565878,20795253,24,0,9,0,753309,5,3,0,0,2
44249INDEPE_N,877571,0,658260,36294382,0,0,3,0,877568,24,2,10,69,1
44249REQUE,1753224,0,1316412,53276689,24,0,45,0,1753155,42,3,1,6,1
